Bottle,Price,Rating,Region,sweet,oak,vanilla,sherry,caramel,cinnamon,wood,honey,chocolate,orange,rich,spicy,bitter,toffee,fruity,citrus,floral
Bowmore 12,32.78037037,75.02380952,Islay,4,4,,4,1,,,1,,2,,,2,,,3,7
Bowmore 15 Darkest,35.375,78.72,Islay,4,4,,4,1,,,1,,2,,,2,,,3,7
Bowmore 15 Laimrig,66.25,85.28571429,Islay,2,,,4,,2,1,2,2,,,1,,,,,
Bowmore 18,46.778,82.22222222,Islay,1,1,,,,,,,2,,,,,1,,,2
Bowmore Devil's Cask,33.98333333,84.625,Islay,5,,5,6,,5,,8,7,,,2,,,1,,
Bowmore Legend,24.96923077,64.41176471,Islay,,,,,,,,,,,,,,,1,,
Bowmore Tempest Batch 3,0.865,85,Islay,,,,,1,,,,1,,,1,,1,2,,
Bruichladdich Bere Barley 2006,67.66666667,79,Islay,8,,12,,1,,1,2,,5,,,,5,1,,
Bruichladdich Black Art 2,147.46,88.89473684,Islay,,,,2,,1,,,2,,,,,2,,,1
Bruichladdich Black Art 3,229.6666667,93.2,Islay,,,,5,2,,,,,,,,,,,,
Bruichladdich Islay Barley 2006,61.726,83.88888889,Islay,8,,12,,1,,1,2,,5,,,,5,1,,
Bruichladdich Octomore 2.2 Orpheus,223.3333333,93.375,Islay,7,,,,,,,,2,,,3,,,,,
Bruichladdich Octomore 4.2_167 Comus,136.95,92.9,Islay,,,,,,,,,4,,,,,,,5,1
Bruichladdich Octomore 5.1,184.75,90.66666667,Islay,1,,2,,,,,2,,,,,,,,,
Bruichladdich Octomore 6.1,116.3225,89,Islay,1,,,,,,,,,,2,,,,,,
Bruichladdich Octomore 6.3,155,86.5,Islay,14,,,2,1,,,,8,,,4,1,5,,,
Bruichladdich PC7,99.88888889,89.78571429,Islay,2,8,2,4,,,,,,,,,5,,,3,
Bruichladdich Port Charlotte 10,60,87.6,Islay,,2,1,1,,,1,2,1,2,,,,,,,
Bruichladdich Port Charlotte An Turas Mor,53.2275,84.58823529,Islay,1,,,,,,,2,,,,,,,,,
Bruichladdich Port Charlotte Scottish Barley,47.45571429,86.1875,Islay,,,,,,,,4,,,,,,,,4,
Bruichladdich Port Charlotte The Peat Project,42.35222222,82.38461538,Islay,,2,2,2,1,,,,1,,,2,,,2,,3
Bruichladdich Port Charlotte Tro Na Linntean,,91.33333333,Islay,2,2,2,,1,2,,1,,,,,,,,,
Bruichladdich Rocks,45.07142857,83.36363636,Islay,2,,4,,1,,3,1,,,,,,,,,
Bruichladdich The Classic Laddie,31.94833333,85.5,Islay,,,,,,,,,,,,,,,,1,
Bruichladdich The Laddie Sixteen,96.5,88.57142857,Islay,8,10,,,,,,,,,2,,2,,2,2,
Bruichladdich The Laddie Ten,50.197,86.98550725,Islay,8,10,,,,,,,,,2,,2,,2,2,
Bruichladdich The Organic,52.15,78.1,Islay,4,,,,,,,,,,,,,,,1,3
Bruichladdich Waves,80,78.16666667,Islay,4,,2,,2,,,4,,,,3,,,,,2
Bunnahabhain 12,48.598,86.2962963,Islay,4,,,3,,,,,2,,,,,1,,,
Bunnahabhain 18,84.644,90.20833333,Islay,2,,,3,2,,,,,,,,,,,,
Bunnahabhain 25,292.25,88.57142857,Islay,,,,6,,,,1,,1,,,,,1,,
Bunnahabhain Toiteach,87.5,84.63636364,Islay,4,,2,,,1,,,1,,1,2,2,,,,
Caol Ila 12,54.03240741,84.90804598,Islay,8,,,,2,,,2,,,,,,,,,
Caol Ila 18,74.66666667,87.90909091,Islay,,3,1,2,,2,3,1,,,,1,2,5,2,1,
Caol Ila Cask Strength,41.96666667,88.83333333,Islay,4,,,,,,,,,,,1,,,,,
Caol Ila Distiller's Edition,50.33333333,86.9,Islay,1,,,2,3,,,,,,2,,,,,,
Caol Ila Stitchell Reserve,106.6666667,88.66666667,Islay,,,,2,,,,,,,,,,,,1,
Finlaggan Old Reserve,20.47272727,84.22222222,Islay,,,,,,,,,,,,,,,,,
Kilchoman 100% Islay 3rd Edition,82,88.375,Islay,,,1,,1,2,,,,,,,,,,,2
Kilchoman 5 Single Bourbon Cask,90,90.83333333,Islay,,5,3,4,2,1,,,,,2,2,,1,,2,
Kilchoman Loch Gorm,77.68625,87.07142857,Islay,,5,3,4,2,1,,,,,2,2,,1,,2,
Kilchoman Machir Bay,51.28153846,86.40425532,Islay,,,,2,,,,,1,,,,2,,,,
Kilchoman Port Cask Matured,68,90.25,Islay,4,,,,,1,,,,,,,,,,,
Kilchoman Sherry Cask Release,76,86.33333333,Islay,,,,13,,,,,,,,,,,,,
Lagavulin 12,88.59862069,91.13333333,Islay,,,1,4,,,,,,,,,,,,2,
Lagavulin 16,70.51085106,88.56818182,Islay,,,,4,2,,,,,,,,,,,1,
Lagavulin 1995 Distillers Edition,101.085,88.90909091,Islay,2,,,2,,,,,2,,,,,,,,
Lagavulin 1997 Distillers Edition,114.5,90.33333333,Islay,8,,,5,,,,,3,,,,,,,,
Laphroaig 10,41.28949367,85.35779817,Islay,,,,,,,,,,,,,,,,,
Laphroaig 10 Cask Strength,56.78,91.27272727,Islay,6,2,7,,7,,1,2,,,1,,,,,,
Laphroaig 15,77.75,89.4,Islay,3,,10,5,,,,,,2,,,,,2,,
Laphroaig 17 SMWS 29.157,100,85.875,Islay,2,2,,,,,4,4,,,,,,,,,
Laphroaig 18,77.50487805,89.91428571,Islay,,1,9,3,,,,,,2,,2,,,,4,
Laphroaig 25 Cask Strength 2008,350,92.7,Islay,,,2,6,,,,,,,,,,1,,,
Laphroaig An Cuan Mor,68.5,87.14285714,Islay,2,1,,,2,,,,,,,,,,2,,
Laphroaig Cairdeas 2011 Ileach,60,89.16666667,Islay,,,2,,,,,,,2,,,,,,,
Laphroaig Cairdeas 2012 Origin,78.66666667,89.52380952,Islay,2,,1,2,,1,1,,,,1,,,1,2,,
Laphroaig Cairdeas 2013 Portwood,73.064,92.94871795,Islay,6,,,5,2,,,2,,,,6,,,,,
Laphroaig Cairdeas 2014 Amontillado,77.5,87.13333333,Islay,14,1,1,6,3,1,2,,,,2,,,4,,4,1
Laphroaig Cairdeas 2015,28.91666667,88.16666667,Islay,,,,,,,,1,,,,,,,,,
Laphroaig PX Cask,66.97777778,88.68181818,Islay,,1,9,3,,,,,,2,,2,,,,4,
Laphroaig Quarter Cask,46.9756383,89.78512397,Islay,,1,1,,,,,,,,,,,3,,,
Laphroaig Triplewood,64.66666667,86.14285714,Islay,5,3,2,4,2,1,4,2,1,,,,,,,,
McClelland Islay,19.75333333,63.33333333,Islay,3,,1,,,,,,,,,,,,,,
Port Ellen 32 12th Release,700,89.81818182,Islay,2,5,2,,,,,,,,,,,,,,
Smokehead,0.54,77,Islay,,,,,,,,,,,,,2,,,,
Hakushu 12,64.5,84.4,Japan,2,,,,,,1,,,,,,,,,,1
Hakushu 14 SMWS 120.7,180,90.125,Japan,2,4,,,1,,,,,,,,2,,1,,
Hibiki 12,65,76.09090909,Japan,6,,,,1,,,3,,,,,,,,,
Hibiki 17,38.25,86.85714286,Japan,,,3,,6,,,3,,,1,,,,,,
Nikka Coffey Grain,60,80.28571429,Japan,,3,6,,,1,,,,,,,1,,,,
Nikka From The Barrel,39,84,Japan,4,9,3,5,5,,,2,,6,,,4,8,2,3,
Nikka Yoichi 10,0.27,82.875,Japan,9,,,,,,,3,,,,,,2,,2,
White Oak Akashi 14,167.5,93.5,Japan,,2,,4,,,2,,,,2,2,,,,,
Yamazaki 12,56.98823529,81.33333333,Japan,,1,,,,2,,,,,,,,,1,,
Yamazaki 18,800,87.57142857,Japan,1,,,,,3,,1,6,,,,,1,,,
Yoichi 26 SMWS 116.20,,88.42857143,Japan,8,37,14,2,5,3,13,8,2,4,2,2,,7,,6,
Auchentoshan 12,33.58894737,79.2,Lowland,2,,3,,,,,3,,4,,,,,,,
Auchentoshan American Oak,26.84666667,72.33333333,Lowland,,4,2,,,,,,,,,,,,,,
Auchentoshan Classic,27.296,75.875,Lowland,,,,,,,,,,,,,,,,2,
Auchentoshan Three Wood,59.58333333,82.82926829,Lowland,3,,,4,,,4,,,,,,,,2,,
Auchentoshan Valinch,45.96789474,83.25,Lowland,2,,,,,1,,,,,,,2,,,,
Glenkinchie 12,42.49090909,79.14814815,Lowland,,,,,,,1,1,,2,,,2,,,2,
Angel's Envy Rye,74,89.375,Rye,9,13,3,,2,2,,,,8,,,,,1,9,
Bulleit Rye,25.05413793,84.68571429,Rye,,2,,,,2,4,,,2,2,,,,,,
Colonel E.H. Taylor Straight Rye,70.54545455,89.21052632,Rye,,4,,,1,,2,,2,1,,,2,,,2,2
High West A Midwinter Nights Dram,63.52928571,93.05555556,Rye,6,,,,1,2,,,,,,,,,,,
High West Double Rye,33.45666667,87.47619048,Rye,1,5,1,,1,1,,,3,2,2,8,2,,,,
High West Rendezvous Rye,42.02916667,89.13333333,Rye,2,1,5,,1,3,,,,,,2,,,2,,
Jefferson's 10 Year Rye Whiskey,36,86.25,Rye,,,,,,,,,,,,,,,,,
Knob Creek Rye,28.01,81.26666667,Rye,,5,,,1,,,,,,,,2,,,,
Rittenhouse Rye 100,21.65451613,85.65,Rye,11,,1,,,,8,,2,,,3,12,,,,6
Sazerac 18,61.66666667,91.57142857,Rye,5,3,7,,2,11,2,1,,1,,,,,,,
Sazerac Rye,27.64347826,83.78571429,Rye,,,4,,1,,,,,,,2,,,,,
Smooth Ambler Old Scout Rye 7 Year,36.77857143,87.2,Rye,,1,2,,,,2,,,,,2,,,,,
Templeton Rye,39,65.16666667,Rye,,,,,2,2,5,,,6,,,,,,,
Thomas H. Handy,79.12222222,93.30769231,Rye,,2,,,2,,,,,,,,,,3,2,
Thomas H. Handy 2013,73.33333333,90.3,Rye,2,2,,,,,,,,,,,,,,,
Van Winkle Family Reserve Rye 13 Years Old,77.33333333,88.83333333,Rye,,,,,,,,,,1,,2,,,,,
Whistle Pig 10 Straight Rye,66.375,88.1,Rye,2,5,2,,3,4,,,,,,,1,,3,,
Whistle Pig Boss Hog,150,90.625,Rye,,,,,,,,,,,,,,,,,
Wild Turkey 101 Rye,32.7,84.92857143,Rye,,,5,,,2,,1,,3,,2,,,,,
Willett 4 Year Rye,38.52222222,89.16666667,Rye,,1,1,,1,,,,,,,1,1,,,,
Willett Family Estate 2 Year Small Batch Rye,39.8,84,Rye,2,10,6,,,7,,,,,,7,,1,,3,
Aberlour 10,23.786,78.88,Speyside,3,,5,2,1,,,,1,,2,,,,,,1
Aberlour 12 Double Cask Matured,35.92540541,83.6744186,Speyside,,3,2,6,,,,,,2,,,,,,,
Aberlour 12 Non Chill Filtered,54.11566667,89.38636364,Speyside,38,31,2,28,2,22,1,,,,13,6,4,21,6,3,5
Aberlour 12 Sherry Cask Matured,23.78,81,Speyside,3,,,,5,,,,,4,,,,,1,,
Aberlour 16,54.86176471,86.04166667,Speyside,2,3,1,4,,,,,,,,,,,,,
Aberlour 18,86.25,87.46666667,Speyside,,,,2,3,,,,,,4,,,,,,
Aberlour A'bunadh,60.89642857,90.04545455,Speyside,2,5,10,20,,,1,3,14,5,9,,,,3,,
Aberlour A'bunadh batch #36,45.06666667,92.88888889,Speyside,8,,,2,10,4,,,10,2,5,1,,4,2,,1
Aberlour A'bunadh batch #39,58.14615385,88.66666667,Speyside,8,,,2,10,4,,,10,2,5,1,,4,2,,1
Aberlour A'bunadh batch #40,64.3,89.9,Speyside,8,,,2,10,4,,,10,2,5,1,,4,2,,1
Aberlour A'bunadh batch #41,63.75,90.71428571,Speyside,,2,,2,,,7,,3,,8,,1,,3,,
Aberlour A'bunadh batch #42,55.66666667,87.44444444,Speyside,4,1,,7,2,,,,5,,2,,,8,,,
Aberlour A'bunadh batch #45,61.44444444,91.36363636,Speyside,4,1,,3,,,,,,,,,,,,,
Aberlour A'bunadh batch #46,42.81,88,Speyside,1,,,5,,1,,,,,,3,,,,,
Aberlour A'bunadh batch #47,67.33333333,90.625,Speyside,,,1,2,2,2,,,1,,6,3,,1,2,1,
AnCnoc 12,38.82285714,84.25581395,Speyside,4,,1,2,6,,,6,,,,,,,,,
AnCnoc 16,41.9925,87.0625,Speyside,1,1,2,,,,,2,,4,1,,2,,,2,
AnCnoc Rutter,68.33333333,85.11111111,Speyside,,,,,,,,,,,,,,,,,1
Balvenie 10 Founder's Reserve,58.33333333,83.5,Speyside,2,,,,,1,,,,,,4,,,2,,
Balvenie 12 Doublewood,46.50465517,81.81111111,Speyside,38,31,2,28,2,22,1,,,,13,6,4,21,6,3,5
Balvenie 12 Signature,50.33333333,83.63636364,Speyside,4,,2,,,2,,4,,,,,,,,,
Balvenie 12 Single Barrel First Fill,67.33333333,85.06666667,Speyside,13,2,8,,,2,,2,,,4,,9,8,1,,
Balvenie 14 Caribbean Cask,58.1027451,84.7625,Speyside,,,,,,,,,,,,,,,,,
Balvenie 14 Golden Cask,75,87.5,Speyside,,4,2,,,,,1,,2,,,4,1,,,
Balvenie 15 Single Barrel,80.13043478,88.06382979,Speyside,7,3,13,7,6,5,,13,4,16,,,,2,1,4,4
Balvenie 15 Single Barrel Sherry Cask,40.5,88.16666667,Speyside,6,2,,8,,1,,,2,,,,,1,,,
Balvenie 17 Doublewood,92.97666667,86.35294118,Speyside,,4,,4,,,4,3,,2,,,2,,,,
Balvenie 17 Madeira Cask,97.33333333,88.45454545,Speyside,5,1,,2,,,,7,,2,,,,,,,
Balvenie 17 Peated Cask,85.90222222,89.41176471,Speyside,,2,,,1,,,,,2,,,1,1,,,
Balvenie 21 Portwood,148.0855556,88.36666667,Speyside,3,4,3,5,2,1,,2,3,,,5,,,,,1
Balvenie Tun 1401 Batch #3,246.6666667,91.72727273,Speyside,,,2,5,,,,3,2,2,,2,,5,,,3
Balvenie Tun 1401 Batch #5,250,95.42857143,Speyside,2,5,2,2,,5,,2,3,,5,,,2,,2,
BenRiach 10 Curiositas,21.665,86.46666667,Speyside,,,,,,,,,,,,,,,2,,
BenRiach 12,57,82.53846154,Speyside,,,5,,,,,3,,,1,,,,3,,
BenRiach 12 Importanticus Fumosus,,86,Speyside,3,,,2,,,,,4,2,,,,,,,2
BenRiach 12 Sherry Matured,35.355,84.5,Speyside,2,,,8,3,,,,7,,1,,,,1,,
BenRiach 16,72.5,84.42857143,Speyside,8,,1,7,,8,12,4,2,2,2,,12,,3,,4
BenRiach 17 Solstice,100.4,90.41666667,Speyside,2,,1,,,1,,,4,,,,,,,,1
BenRiach 21 Authenticus Peated,137.5,88.85714286,Speyside,5,5,1,2,1,1,4,3,,,,,,1,2,,
Benrinnes 14 AD Rattray Sherry Cask,96.5,93.71428571,Speyside,2,3,,10,,2,,,5,2,,,,,,,
Benrinnes 14 Lady of the Glen 1999,69,94.375,Speyside,4,,1,2,1,,,,,,,2,,2,,,2
Benrinnes 15 DARKNESS! Oloroso,87.66666667,90.16666667,Speyside,1,3,5,18,2,2,,2,,6,,,2,,2,,8
Benrinnes 15 DARKNESS! Pedro Ximenez,90.5,91.125,Speyside,2,1,,4,2,,,,1,,,,,,,,
Benrinnes 23,205.3333333,93.84615385,Speyside,4,1,,4,2,,,,5,,3,,,2,,,
Benromach 10,39.52235294,84.73529412,Speyside,2,1,,5,,,,,1,,,1,,,1,,
Benromach 10 100 Proof,69,90.5,Speyside,,4,4,4,1,,,,,,,,,,,,
Benromach Traditional,36,79.83333333,Speyside,6,,2,6,,,,1,1,,,,,1,2,1,4
Caperdonich 18 Signatory,91.33333333,86.42857143,Speyside,9,,13,5,7,,21,,,4,7,8,1,,8,,1
Cardhu 12,32.93066667,76.32,Speyside,2,,2,,,,2,1,,,,,,,,2,2
Cragganmore 12,43.18043478,79.83783784,Speyside,,,,,,,,,,,,,,,,,
Craigellachie 13,30.26666667,80.83333333,Speyside,,1,,,1,,,,,,,,2,1,1,,
Glen Elgin 12,28.78333333,83,Speyside,,,3,,,,2,1,,,,2,2,1,,,
Glen Grant 10,38.92857143,81.1,Speyside,2,,2,,,,,,,,,,,,3,,
Glendronach 12,22.364,83.33333333,Speyside,8,,1,7,,8,12,4,2,2,2,,12,,3,,4
GlenDronach 12 Original,37.749,83.24137931,Speyside,4,2,1,4,2,,,2,,,,4,,,1,,
GlenDronach 15 Revival,55.4430303,87.80851064,Speyside,2,,,6,1,,,3,4,,,,6,,,,
GlenDronach 18 Allardice,94.5,86.81818182,Speyside,,4,,15,1,,,,6,,,,2,4,2,,
GlenDronach 21 Parliament,80.965,87.4375,Speyside,1,7,,3,5,1,,,3,,,,2,,,,
GlenDronach Cask Strength,64.58571429,91.5,Speyside,3,4,3,5,2,1,,2,3,,,5,,,,,1
Glenfarclas 10,26.67125,80.05263158,Speyside,2,1,5,,,6,,8,3,3,,4,,,,2,
Glenfarclas 105 Cask Strength,68.1562963,88.88372093,Speyside,2,2,2,6,,3,,,2,2,,1,,,,,1
Glenfarclas 12,34.33756098,84.52380952,Speyside,,,3,,,,2,,,,,,,,,,
Glenfarclas 15,59.14307692,85.77272727,Speyside,4,,,,,3,,1,,,,,,,2,,
Glenfarclas 17,83.66666667,87.68,Speyside,3,,,6,,,,1,6,,,,,,,,
Glenfarclas 21,82.86166667,87.14285714,Speyside,,,,,,,,,,,,,,,,,
Glenfarclas 25,126.54375,89.3,Speyside,2,5,5,,1,,,,,,,,,,,,2
Glenfarclas 31 Port Cask,520,88.83333333,Speyside,2,,,,,,,,,,2,,,,,,
Glenfarclas 40,407.8,95.08333333,Speyside,2,,,,1,,,,,,,,,,,,
Glenfiddich 12,33.91485294,77.0990991,Speyside,,,2,,2,,,,,,,,,,2,,
Glenfiddich 14 Rich Oak,38.65,85.76923077,Speyside,3,6,,,,,2,,,,2,2,,,4,,
Glenfiddich 15,44.1628125,83.5,Speyside,,3,2,,2,,,6,,,,,,1,2,,
Glenfiddich 15 Distillery Edition,60.83857143,81.86666667,Speyside,1,6,1,,1,,1,,,1,2,,,,,,
Glenfiddich 18,58.4345,84.8,Speyside,,,,2,,,,,,,,,,,,,
Glenfiddich 21 Gran Reserva,151.684,83.63636364,Speyside,,3,,,3,,1,,,,,,2,,,,
Glenfiddich Snow Phoenix,116.6366667,86.16666667,Speyside,6,,,,,,1,,,,,,,,2,3,2
Glenlivet 12,31.51928571,76.92631579,Speyside,,,,,,,,1,,,,,,,1,,
Glenlivet 15 French Oak Reserve,37.703,80.9375,Speyside,,9,6,,,3,,2,,,,,,,,,10
Glenlivet 16 Nadurra,59.43529412,86.64912281,Speyside,2,2,1,,,,,1,,1,,,,,,,
Glenlivet 18,72.23,83.9787234,Speyside,,,1,4,,,,,,4,,,,2,,,
Glenlivet 21 Archive,123.9125,89.61538462,Speyside,2,3,,2,,2,,2,,,,2,,,,,2
Glenlivet 25,299,90.875,Speyside,8,,,2,,3,,,,,,,,,,,
Glenlossie 19 Signatory 1992,80,84.83333333,Speyside,2,,2,,,,,,,,,,,,,1,
Glenrothes 1998,48.2625,81.09090909,Speyside,6,,4,,,,,2,,,,,,,,4,
Glenrothes Select Reserve,39.94285714,69.4,Speyside,,,,,,,,,,,,,,,,,
Kirkland Signature 20 Speyside Sherry Cask Finish,45,78.85714286,Speyside,,3,2,4,2,,,,,,1,,,,,,
Longmorn 19 Signatory 1992,80,84.33333333,Speyside,9,,13,5,7,,21,,,4,7,8,1,,8,,1
Macallan 10 Fine Oak,40.23863636,81.5483871,Speyside,11,3,2,,,,,2,,,,,,,,,
Macallan 12 Fine Oak,64.66666667,76.5,Speyside,3,6,3,4,,,,,,,,,,,3,,4
Macallan 12 Sherry,50.48083333,82.64556962,Speyside,2,1,,,1,,2,4,,,,,,,,,
Macallan 15 Fine Oak,73.39428571,87.17647059,Speyside,2,1,,,2,2,,2,2,1,,1,,,2,,
Macallan 18 Sherry,158.365,90,Speyside,6,,1,2,1,,,2,,,,1,,,,,
Macallan 25 Sherry,597.5,89.54545455,Speyside,,1,,4,,2,,2,3,,2,,,,,,
Macallan Amber,50.5,74.77777778,Speyside,,1,2,2,1,1,,1,,,,,,2,,2,1
Macallan Gold,41.9125,70.71428571,Speyside,,,2,,1,1,,,,,,,,,,,
Macallan Rare Cask,265,71.16666667,Speyside,,,,2,,,,,1,4,,,,1,,,
Macallan Select Oak,48.51428571,80.77777778,Speyside,6,12,,8,,,,,,,,,,,,,1
Macallan Sherry Cask Strength,65.08851064,91.3968254,Speyside,4,1,,4,2,,,,5,,3,,,2,,,
Macallan Sienna,30.875,82.28571429,Speyside,,,1,2,,1,,,,,,,,6,,,
Mortlach 15 Gordon & MacPhail,32.875,76,Speyside,,,,6,1,,,3,,,,,,,,,
Mortlach 16 Flora & Fauna,93.33333333,86.16666667,Speyside,10,,4,2,7,1,2,1,1,2,,,2,1,,5,3
Singleton of Glendullan 12,26.375,77.33333333,Speyside,,3,,,1,,1,,,2,,,8,,,3,
Speyburn 10,24.222,79.55,Speyside,2,1,1,,,,,2,,,,2,,,,2,
Speyburn Bradan Orach,16.20833333,58.66666667,Speyside,,,,,,,,1,,,,,,,,,2
Tamdhu 8 Signatory 2005,59.28571429,90.9,Speyside,,2,,,2,,,,2,2,1,,,,,,3
Tomintoul 10,17.725,74.875,Speyside,,,4,,,,,,,,,,2,,,,4
Tomintoul 14,,81.16666667,Speyside,,,3,,,,,3,5,,,,,,,,
Tomintoul 16,42.17333333,79.3,Speyside,,,,,,,,4,,,,,,,,,
Tomintoul Peaty Tang,45,76.42857143,Speyside,,6,2,,,,,,4,,,,2,,6,2,
Mackmyra First Edition,14.25,83.33333333,Sweden,2,5,1,4,1,,1,,,4,2,1,,,,2,
Kavalan Concertmaster,30.6,81.42857143,Taiwan,,,3,,,,,1,,,,,,,4,,
Kavalan Solist Ex-Bourbon,1,87.4,Taiwan,,,3,1,3,,1,,,,,,,,2,,
Kavalan Solist Sherry,1.3,84.75,Taiwan,2,,,14,,,2,,,,2,,,,2,,
Kavalan Solist Vinho Barrique,1.25,88,Taiwan,2,4,6,,5,1,,,10,2,6,2,,,,,4
Gentleman Jack,16.556,62.42857143,Tennessee,5,9,3,,2,,5,,,,,,,,,,
Jack Daniel's Old No. 7,18.63083333,71.5,Tennessee,2,,,,3,,,,1,1,,,,,,,6
Jack Daniel's Single Barrel,36.50375,76.90909091,Tennessee,10,,,,1,,3,1,,,2,,,1,,,
Bernheim Original Small Batch Wheat Whiskey,31.625,83,Wheat,4,,4,,5,3,2,,,,2,,,1,,3,
Parker's Heritage Collection Wheat Whiskey,87.87444444,89.81818182,Wheat,2,1,,,,5,2,4,,,,2,,,,,
,,,,1394,1156,944,730,665,513,470,397,393,383,365,364,339,313,311,304,282
