Bottle,Price,Rating,Region,sweet,oak,vanilla,sherry,caramel,cinnamon,wood,honey,chocolate,orange,rich,spicy,bitter,toffee,fruity,citrus,floral
Elijah Craig Barrel Proof,49.19230769,90.37142857,Bourbon,,5,2,,1,1,,,1,,1,,,,,,
Elmer T. Lee,29.36771429,86.95121951,Bourbon,,,,,,,,,,,,,,,,,
Evan Williams 1783,14.33333333,79.85714286,Bourbon,,8,2,,,,,,,1,,,,,,,
Evan Williams Black Label,12.20909091,80.86666667,Bourbon,4,5,1,,1,2,,,1,,,2,4,1,,,
Evan Williams Bottled in Bond,14.89176471,83.70588235,Bourbon,2,2,,,2,,,,1,,,2,,3,,,
Evan Williams Single Barrel 2002,12.25,82.75,Bourbon,,,2,,2,2,,1,,2,,,,,,2,
Evan Williams Single Barrel 2003,25.76263158,83.08333333,Bourbon,,2,2,,,,,,,,,,,,,,
Evan Williams Single Barrel 2004,24.07875,86,Bourbon,,5,2,,3,3,2,,4,,,,,,,2,
Four Roses /r/bourbon selection OBSF,60,88.71428571,Bourbon,3,,,,2,2,,1,,,6,1,,1,,,4
Four Roses /r/bourbon selection OBSK,60,92.25,Bourbon,1,1,,,2,1,,,,,,,,,,2,
Four Roses Single Barrel,29.25837838,88.74509804,Bourbon,,,1,,,,,,,,,2,,,,,2
Four Roses Single Barrel Private Selection OBSF,57.71428571,90.36363636,Bourbon,,4,3,,2,,,,2,,1,1,,1,2,2,
Four Roses Single Barrel Private Selection OBSK,57.5,88.375,Bourbon,3,3,2,,,1,,,,,1,2,,,2,,
Four Roses Single Barrel Private Selection OBSO,57,88.14285714,Bourbon,,3,3,,3,,,,,,,,1,,,,
Four Roses Single Barrel Private Selection OBSQ,53.25,88.11111111,Bourbon,,,2,,3,2,,3,4,,4,2,2,,,,6
Four Roses Single Barrel Private Selection OBSV,39.925,88.90909091,Bourbon,,8,2,,7,1,,,,,,1,,,3,,
Four Roses Single Barrel Private Selection OESF,58.4,88.22222222,Bourbon,4,5,,,,,,,,,,,,,,6,
Four Roses Single Barrel Private Selection OESK,54,88.125,Bourbon,,3,2,2,,6,,,,,,,,,,,
Four Roses Single Barrel Private Selection OESO,58.75,87.75,Bourbon,2,2,,,2,,,,,,2,,,,2,,
Four Roses Single Barrel Private Selection OESQ,64.5,89.25,Bourbon,2,8,5,,3,6,,,2,,,4,2,,,,4
Four Roses Single Barrel Private Selection OESV,55,86.85714286,Bourbon,,3,3,,3,,,,,,,,1,,,,
Four Roses Small Batch,23.81769231,85.54761905,Bourbon,,,4,,,,,3,,,1,1,,,1,,
Four Roses Small Batch Limited Edition 2013,77.91470588,93.57142857,Bourbon,4,3,4,,,2,,,1,1,1,6,,,4,,3
